[Go] 2025/01/22 11:25:25 | INFO | db.go:79 | 数据库连接成功
[Go] 2025/01/22 11:25:25 | INFO | main.go:37 | 服务启动成功，监听端口:28080
[Go] 2025/01/22 11:25:25 | FATAL | main.go:39 | 服务启动失败: listen tcp :28080: bind: address already in use
[Go] 2025/01/22 11:26:00 | INFO | db.go:79 | 数据库连接成功
[Go] 2025/01/22 11:26:00 | INFO | main.go:37 | 服务启动成功，监听端口:28080
[Go] 2025/01/22 11:26:05 | INFO | db.go:79 | 数据库连接成功
[Go] 2025/01/22 11:26:05 | INFO | main.go:37 | 服务启动成功，监听端口:28080
[Go] 2025/01/22 11:26:40 | INFO | db.go:79 | 数据库连接成功
[Go] 2025/01/22 11:26:40 | INFO | main.go:37 | 服务启动成功，监听端口:28080
[Go] 2025/01/22 11:32:41 | INFO | db.go:79 | 数据库连接成功
[Go] 2025/01/22 11:32:41 | INFO | main.go:37 | 服务启动成功，监听端口:28080
[Go]    2025-01-26 22:57:04 | INFO | db.go:79 | 数据库连接成功 
[Go]    2025-01-26 22:57:04 | INFO | main.go:37 | 服务启动成功，监听端口:28080 
